UF,Reg,Ano,Quant_Beneficiario_PCD,Quant_Beneficiario_Total,Quant_Recurso_PCD,Quant_Recurso_Total,,
Paraíba,Nordeste,2015,66794,101517,629618602,957378434,,
Pernambuco,Nordeste,2015,171018,287444,1611677898,2711214609,,
Alagoas,Nordeste,2015,74528,109122,703148160,1029762490,,
Sergipe,Nordeste,2015,37446,53379,352102577,502217545,,
Bahia,Nordeste,2015,218695,404794,2063570834,3820965046,,
Minas Gerais,Sudeste,2015,237019,415227,2233427145,3915503837,,
Espírito Santo,Sudeste,2015,33179,62031,312350287,584608717,,
Rio de Janeiro,Sudeste,2015,118543,297574,1118174094,2809125511,,
São Paulo,Sudeste,2015,313511,677898,2953774401,6395187656,,
Paraná,Sul,2015,106420,194528,1004041201,1836359760,,
Santa Catarina,Sul,2015,43862,67119,413257084,632645162,,
Rio Grande do Sul,Sul,2015,112388,187052,1057380254,1761513027,,
Mato Grosso do Sul,Centro Oeste,2015,36176,78308,341399969,739277219,,
Mato Grosso,Centro Oeste,2015,41535,80310,391975810,758040464,,
Goiás,Centro Oeste,2015,75669,143535,714360443,1355290438,,
Distrito Federal,Centro Oeste,2015,25960,50269,244287373,473655904,,
Rondônia,Norte,2016,26963,42374,281928288,443329920,,
Acre,Norte,2016,17051,23903,177669835,249285281,,
Amazonas,Norte,2016,52560,95945,553939664,1011701596,,
Roraíma,Norte,2016,8038,12083,84543547,127200940,,
Pará,Norte,2016,112351,202778,1185326505,2139704287,,
Amapá,Norte,2016,12189,23904,128482070,252094502,,
Tocantins,Norte,2016,21777,37375,229570434,393998758,,
Maranhão,Nordeste,2016,109423,195775,1154215589,2065573307,,
Piauí,Nordeste,2016,48007,70098,506101041,739136374,,
Ceará,Nordeste,2016,151562,244106,1596566175,2572564832,,
Rio Grande do Norte,Nordeste,2016,52556,76953,553156037,810348031,,
Paraíba,Nordeste,2016,69756,105793,734277953,1114193638,,
Pernambuco,Nordeste,2016,174826,294911,1839904396,3106510143,,
Alagoas,Nordeste,2016,75478,109809,795153579,1157118079,,
Sergipe,Nordeste,2016,39282,55577,412540765,583983905,,
Bahia,Nordeste,2016,225548,416761,2376440580,4393049181,,
Minas Gerais,Sudeste,2016,246787,430210,2596752623,4530230074,,
Espírito Santo,Sudeste,2016,34568,64755,363358140,681472341,,
Rio de Janeiro,Sudeste,2016,123408,308813,1299703973,3255301812,,
São Paulo,Sudeste,2016,324164,697301,3410549219,7345757138,,
Paraná,Sul,2016,108959,199182,1147701502,2099379726,,
Santa Catarina,Sul,2016,45973,70026,483689119,737066282,,
Rio Grande do Sul,Sul,2016,116125,192255,1219905318,2021687419,,
Mato Grosso do Sul,Centro Oeste,2016,37651,80501,396723723,848659393,,
Mato Grosso,Centro Oeste,2016,42499,81362,447903693,857639171,,
Goiás,Centro Oeste,2016,78710,147512,829824159,1555569074,,
Distrito Federal,Centro Oeste,2016,26682,51796,280376555,545041713,,
Rondônia,Norte,2017,28121,43687,313981969,488065961,,
Acre,Norte,2017,17897,25016,198735628,278062078,,
Amazonas,Norte,2017,54632,99480,613152605,1117060486,,
Roraíma,Norte,2017,8417,12642,94204687,141650467,,
Pará,Norte,2017,116850,208911,1312631607,2347231077,,
Amapá,Norte,2017,13004,25076,145930856,281570415,,
Tocantins,Norte,2017,22556,38074,253174113,427370427,,
Maranhão,Nordeste,2017,113273,195710,1272157065,2198515882,,
Piauí,Nordeste,2017,50932,73896,571675998,829599964,,
Ceará,Nordeste,2017,159428,255704,1788277815,2869424512,,
Rio Grande do Norte,Nordeste,2017,55421,80746,621088805,905375036,,
Paraíba,Nordeste,2017,72910,110145,817284190,1235273496,,
Pernambuco,Nordeste,2017,180269,304207,2020207894,3412245961,,
Alagoas,Nordeste,2017,77389,111445,868062623,1250393252,,
Sergipe,Nordeste,2017,41037,57767,458995542,646400279,,
Bahia,Nordeste,2017,235747,432481,2644682934,4854015197,,
Minas Gerais,Sudeste,2017,258744,447815,2898385394,5020631438,,
Espírito Santo,Sudeste,2017,36288,67933,406132806,761206063,,
Rio de Janeiro,Sudeste,2017,130599,324725,1464376049,3644635505,,
São Paulo,Sudeste,2017,337031,720192,3775054940,8077694254,,
Paraná,Sul,2017,112470,204862,1261321204,2298873181,,
Santa Catarina,Sul,2017,48762,73869,546204374,827796067,,
Rio Grande do Sul,Sul,2017,120625,197901,1348893849,2215523147,,
Mato Grosso do Sul,Centro Oeste,2017,39203,82399,439736328,924861014,,
Mato Grosso,Centro Oeste,2017,43840,83050,491941185,932123735,,
Goiás,Centro Oeste,2017,81848,151387,918776963,1699906680,,
Distrito Federal,Centro Oeste,2017,27796,54176,310925447,606910237,,
Rondônia,Norte,2018,29164,44879,332816867,512465154,,
Acre,Norte,2018,18474,25710,209479068,291886032,,
Amazonas,Norte,2018,56416,102485,644876857,1172010975,,
Roraíma,Norte,2018,8552,12835,97414244,146404341,,
Pará,Norte,2018,119657,211958,1368530863,2424648712,,
Amapá,Norte,2018,13511,25738,154405716,294300980,,
Tocantins,Norte,2018,23330,38798,266608212,443414589,,
Maranhão,Nordeste,2018,116249,194247,1329178146,2221582408,,
Piauí,Nordeste,2018,53312,76489,609272532,874326661,,
Ceará,Nordeste,2018,167302,266989,1910774062,3050572781,,
Rio Grande do Norte,Nordeste,2018,57520,83606,656318092,954484331,,
Paraíba,Nordeste,2018,75537,113640,862157723,1297694055,,
Pernambuco,Nordeste,2018,184923,312179,2110229871,3565537198,,
Alagoas,Nordeste,2018,79651,113396,909647966,1295363328,,
Sergipe,Nordeste,2018,43145,60314,491293626,687141106,,
Bahia,Nordeste,2018,245097,446106,2799548237,5097970422,,
Minas Gerais,Sudeste,2018,268107,462027,3057539584,5273833991,,
Espírito Santo,Sudeste,2018,37923,71146,432135521,811704480,,
Rio de Janeiro,Sudeste,2018,135987,336808,1552209570,3848598118,,
São Paulo,Sudeste,2018,346242,740247,3948511792,8453160507,,
